handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_bb1e9426-32eb-5adb-3093-ed6aad332dc3,Product,Sea Mud Sefidab Oil Control,"<p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>No More Oily patches and shine on your face!&nbsp;</b></font></p><p>&nbsp;</p><p>Inspired by a traditional Greek&nbsp;beauty secret, popular in the Mediterranean for centuries, the Sea Much Sefidab Re-Surface&nbsp;Peel removes an old layer of skin and regenerates a new healthy layer in only&nbsp;<strong>60 Seconds</strong>. The unique sea mud helps balance oil glands in the oily zone of your face.&nbsp;</p><p>&nbsp;</p><p>Sea Clay combined with emollients creates a sweeping effect with a high affinity for dead cells. As you massage PeelaDerm peel on your skin, you feel the troubled layer roll off under your fingers. This process allows for the regeneration of a<strong>&nbsp;Fresh&nbsp;</strong>and&nbsp;<strong>Radiant&nbsp;</strong>layer.&nbsp;</p><p>&nbsp;</p><p>Sefidab peel is rich in minerals, highly moisturizing, and boasts antibacterial and anti-inflammatory properties. This Sefidab is very soothing and a great match for sensitive skin.&nbsp;</p><p>&nbsp;</p><p>Our vegan Sefidab are made with Natural&nbsp;clay which is FDA-approved in the US for cosmetic products. They are different than traditional middle eastern Sefidab that are made out of animal fat and chalk. Traditional Sefidab&nbsp;is not FDA-approved in the United States. We are proud to use only FDA-approved ingredients and US-made products in our skincare collection. Also, they are softer due to natural clay being finer and more suitable for skin than traditional ingredients.</p><p>&nbsp;</p><p><strong>Ingredients:&nbsp;</strong></p><p>Sea Clay, Calcium Carbonate, Rose hydrosol, Alkanes, lubricants.&nbsp;</p><p>Net Weight 25 gr/1 Oz.&nbsp;</p><p>&nbsp;</p><p><strong>How to Use:&nbsp;</strong></p><p>1.&nbsp; For the best result, apply the Re-Surface&nbsp;peel in the shower after steaming your skin for a few minutes.</p><p>2.&nbsp; Rub the peel on your skin until your face is covered.</p><p>3.&nbsp; Place the peel&nbsp;on a dry pad for next time.</p><p>4.&nbsp; Massage your face gently in a circular motion until you feel the old layer of skin rolling under your fingers.</p><p>5.&nbsp; Move to a different area and repeat until you have peeled your whole face.</p><p>6.&nbsp; Use a mild soap and warm water to rinse the sloughed-off skin.</p><p>7.&nbsp; Always apply facial oil and moisturizer after peeling. You can proceed with your beauty routine.</p><p>8.&nbsp;Avoid the eye area. Keep away from children. External use only.</p><p>&nbsp;</p><p>Fragrance-Free, No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p>",cc221d_61ce01710f4e44cfb486fae1e60afb6b~mv2.jpg;cc221d_3373c9f95eef4777a626b3bfd7041784~mv2.jpg;cc221d_7e8bf6cbd1804b1098993e5bb4f330b8~mv2.jpg;cc221d_ecf00fc93cab49a29b641cea470d0b4e~mv2.jpg,skincare;Pro-Collagen Collection;Rose Collection;Best Sellers,5065012672009,,45,,TRUE,PERCENT,0,9,1,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3b00a3a2-304d-59fd-b651-30499a992695,Product,Greek Sefidab Collagen Re-Surface Peel,"<p><strong>Let's get a boost of&nbsp;Hydration for&nbsp;luminous&nbsp;skin</strong></p><p>&nbsp;</p><p>Inspired by a traditional Greek&nbsp;beauty secret, popular in the Mediterranean for centuries, the Re-Surface&nbsp;Peel removes an old layer of skin and regenerates a new healthy layer in only&nbsp;<strong>60 Seconds</strong>.&nbsp;</p><p>&nbsp;</p><p>Volcano Clay combined with emollients creates a sweeping effect with a high affinity for dead cells. As you massage PeelaDerm peel on your skin, you feel the troubled layer roll off under your fingers. This process allows for the regeneration of a<strong>&nbsp;Fresh&nbsp;</strong>and&nbsp;<strong>Radiant&nbsp;</strong>layer.&nbsp;</p><p>&nbsp;</p><p>Sefidab peel is rich in minerals, highly moisturizing, and boasts antibacterial and anti-inflammatory properties. This Sefidab is very soothing and a great match for sensitive skin.&nbsp;</p><p>&nbsp;</p><p>Our all Vegan Sefidab is made with Natural&nbsp;clay which is FDA-approved in the US for cosmetic products. They are different than traditional middle eastern Sefidab that are made out of animal fat and chalk. Traditional Sefidab is not FDA-approved in the United States. We are proud to use only FDA-approved ingredients and US-made products in our skincare collection. Also, they are softer due to natural clay being finer and more suitable for skin than traditional ingredients.</p><p>&nbsp;</p><p><strong>Ingredients:&nbsp;</strong></p><p>Volcanic Clay, Calcium Carbonate, Rose hydrosol, Alkanes, lubricants.&nbsp;</p><p>Net Weight 25 gr/1 Oz.&nbsp;</p><p>&nbsp;</p><p><strong>How to Use:&nbsp;</strong></p><p>1.&nbsp; For the best result, apply the Re-Surface&nbsp;peel in the shower after steaming your skin for a few minutes.</p><p>2.&nbsp; Rub the peel on your skin until your face is covered.</p><p>3.&nbsp; Place the peel&nbsp;on a dry pad for next time.</p><p>4.&nbsp; Massage your face gently in a circular motion until you feel the old layer of skin rolling under your fingers.</p><p>5.&nbsp; Move to a different area and repeat until you have peeled your whole face.</p><p>6.&nbsp; Use a mild soap and warm water to rinse the sloughed-off skin.</p><p>7.&nbsp; Always apply facial oil and moisturizer after peeling. You can proceed with your beauty routine.</p><p>8.&nbsp;Avoid the eye area. Keep away from children. External use only.</p><p>&nbsp;</p><p>Fragrance-Free, No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p>",cc221d_222accc8197544108b22109d25107889~mv2.jpg;cc221d_ee8730cb2ec64f21a62a66b05b448fdf~mv2.jpg,skincare;Pro-Collagen Collection;Rose Collection;Best Sellers,5065012672008,,45,,TRUE,PERCENT,0,9,1,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_469388cb-65c3-2e06-0fd3-89ceb8d96797,Product,Cardamom Champaign Body Butter,"<p><strong>Say Hello to Deep and Velvety Hydration!&nbsp;</strong></p><p>&nbsp;</p><p>If you are looking for a rich body butter that is whipped to perfection don't look further. If you This deep hydrating and non-greasy body butter&nbsp;is rich and leaves skin deeply moisturized with a glistening gleam.</p><p>&nbsp;</p><p>This scent is to die for!!!</p><p>&nbsp;</p><p><strong>Ingredients:</strong> Aloe Vera, Soybean Oil, Shea Butter, Cetearyl Alcohol,&nbsp; Wax NF, Palm Oil, Sunflower&nbsp;Oil, Kosher Vegetable Glycerin,&nbsp; paraben free preservative, Fragrance.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",cc221d_9926af0328b54961a364d3609702270c~mv2.jpg;cc221d_1475c554193d494e885df4903467ca37~mv2.jpg;cc221d_a13bb5a3cb504b3e9ac6082e4e8e79e2;cc221d_9ea00d54c43a4473b452b2f7153a88cc~mv2.jpg,Best Sellers,5065012672138,,39,,TRUE,PERCENT,0,10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a75c0611-b823-b50b-ea90-d9d5f10859a0,Product,Cardamom Champaign Blossom Hair Mist,"<p><strong>Cadamom Blossom Hair Mist leaves your hair scencted like freshly cut flowers.&nbsp;&nbsp;</strong></p><p>&nbsp;</p><p>This silicon and sulfate free Hair Mist is to reduce frizziness and also leaves a scent of freshness to your hair. Add this to your daily routine and take the freshness with you everywhere. This is an absolute&nbsp;essential scent that can help keeps your hair fresh between showers.&nbsp;</p><p>&nbsp;</p><p><strong>Ingredients:&nbsp;</strong>Organic Aloe Vera Juice, Polysorbate 20, Kosher Vegetable Glycerin, Phenoxyethanol, Fragrance, Cardamom oil.&nbsp;</p><p>&nbsp;</p><p><strong>How to Apply:</strong></p><p>Spray twice from 10 inches above your hair in the morning. Repeat during the day for freshness.&nbsp;</p><p>&nbsp;</p>",cc221d_3076ce840f2546ebabfc2bfa04e8f65c~mv2.jpg;cc221d_61316d551c9748e697ca116198f249d9~mv2.jpg;cc221d_06b0c486c9734e7eb2f25aa4e596124b;cc221d_7d12fe4385d34228b8ee0a11e4b41cb1~mv2.jpg,,5065012672183,,35,,TRUE,PERCENT,0,11,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_90b67fd1-bb7d-8215-6a1b-bad6b22bd965,Product,Smooth Cardamom Champaign Face Polish,"<p><strong>Polish the dead skin away for smoother and glowing look.&nbsp;</strong></p><p>&nbsp;</p><p>Our Smooth Face Polish gently polishes away dead skin and tones the skin with infused Cardamom oil. This is an excellent addition to your daily regiment for detoxifying and moisturizing skin with all-natural elements.</p><p>Cardamom is a great toning agent for the skin and lips. It also helps blood circulation in the area and production of collagen. It's anti-aging properties are all because of collagen production abilities and that makes this scented seed a famous skincare product for all-Natural beauty.&nbsp;</p><p>The pumice is very fine which makes it suitable for sensitive skin.&nbsp;</p><p>Fantastic addition to your pre-makeup routine for smoother and glowing look.&nbsp;</p><p>&nbsp;</p><p><strong>Ingredients:&nbsp;</strong>Aloe Vera&nbsp;Juice, Cardamom oil, Rose&nbsp;Water, Cetyl Alcohol (soft cushy emulsifier, - no drying isopropyl alcohol), Stearic Acid, Pumice, Kosher Vegetable Glycerin, Sweet Almond Oil Shea Butter, Hibiscus Extract, Kosher Vegetable Glycerin Phenoxyethanol.</p><p>&nbsp;</p><p><strong>How to use:&nbsp;</strong>Clean the skin well, use a dime size amount of polish and gently polish face. May polish skin 1-2 times per week. Apply toner and follow with moisturizer.</p><p>&nbsp;</p>",cc221d_61055a4524e04ce1b1b18cfd2567d616~mv2.jpg;cc221d_6e842643c44b455abeac6839d54ba971~mv2.jpg;cc221d_159d2db898164388b12610f023b756f3;cc221d_40ca74108ee24809bf54d79fd4d0a3dd~mv2.jpg,,5065012672121,,39,,TRUE,PERCENT,0,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f86a71cb-3628-5e71-7b97-52fb9cb271c4,Product,Almond Hydrating Cleanser Milk,"<p><strong>Ultra-soothing and gentle Almond Milk Cleanser for all skin types. </strong></p><p>&nbsp;</p><p>This gentle balm with Almond oil dissolves make-up and impurities on the skin. The all-natural ingredient liquid nourishes the skin's lipid barrier, soothing it with hydration, leaving the skin feeling smooth and looking radiant.</p><p>&nbsp;</p><p><strong>Ingredients: </strong></p><p>Organic Aloe Juice, Organic Rosa Hydrosol, Kosher Vegetable Glycerin, Sweet Almond Oil, Shea Butter, Hibiscus Extract, Kosher Vegetable Glycerin Phenoxyethanol.</p><p>Net Weight 120 ml/ 4 oz</p><p>&nbsp;</p><p><strong>How to use: </strong></p><p>Shake the bottle a few times. Massage gently into wet skin for 30 seconds, and rinse with warm water. Avoid the eye area. Keep away from children. External use only</p><p>&nbsp;</p><p>No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",1da0a4_8586f8ea91904904bfab28be0231de32~mv2.jpg;1da0a4_ad7931f0007f40fabdda76aee597c98c~mv2.jpg,Rose Collection,5065012672107,,20,,TRUE,PERCENT,0,11,1,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_202cf6c9-68dd-cb2f-b165-641f7618724c,Product,Total Day Moisturizer,"<p><strong>Let this Perfect moisturizer with all the essential ingredients rejuvenate and hydrate your skin.&nbsp;</strong></p><p>&nbsp;</p><p>Richly formulated for skin that has begun to lose muscle tone, this targeted anti-wrinkle moisturizer helps improve the appearance of skin texture for a more resilient appearance. Infused with <strong>Jojoba oil and Shea butter</strong>, it intensely hydrates and leaves the skin looking plump.&nbsp;</p><p>&nbsp;</p><p>Rose Geranium is an anti-oxidant to fight free radicals and prevent aging, while castor oil helps with oil control of Sebaceous glands to ease breaking out.&nbsp;</p><p>&nbsp;</p><p><strong>Ingredients:&nbsp;</strong></p><p>Aloe Juice, Sunflower Seed Oil, Cetearyl Alcohol, Polysorbate 60, Stearic Acid, Kosher Vegetable Glycerin, Jojoba Seed Oil, Castor Seed Oil, Phenoxyethanol, Butyrospermum Shea Butter, Guar Gum, Etheylhexylglycerin, Rose Geranium Seed Oil.</p><p>Net Weight 50 ml/ 2 oz</p><p>&nbsp;</p><p><strong>How to use:&nbsp;</strong></p><p>Apply to clean skin daily. Avoid the eye area.&nbsp;Keep away from children. External use only.</p><p>&nbsp;</p><p>No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p>",cc221d_8fa7919044d54f81b09d90f5938b5001~mv2.jpg;cc221d_49d7b56abae44e998f22dbf2437d43e3~mv2.jpg;cc221d_a4a24e6a9ae0408e8826f035bc7d4493;cc221d_173a172e2bec48409eaf9d471c183fe9~mv2.jpg,Pro-Collagen Collection,5065012672091,,49,,TRUE,PERCENT,0,38,1,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0c636adf-eae9-d5c1-f4b2-23f679620b43,Product,Saffron Miracle Serum,"<p><strong>Let the Miracle of Saffron bring out the glow from within.</strong></p><p>&nbsp;</p><p>A miracle elixir of brightening, hydrating, and anti-aging presented in one jar. Most talked about Antioxidant-rich serum, packed with highly effective yet natural ingredients to combat every skin concern, such as sun damage spots, aging spots, UV damage, wrinkles, lack of collagen, dullness, stress lines, or uneven skin.&nbsp;</p><p>&nbsp;</p><p>The presence of Saffron in skincare has shown<strong>&nbsp;a reduction in fine lines and a reduction in dark spots, </strong>helping the skin to have an even tone.</p><p>&nbsp;</p><p>Saffron is an ancient herb from the Nepalese mountains with anti-aging&nbsp;and cleansing benefits. Ayurveda brings out the glow of your skin from within. Saffron extract is an anti-oxidant for both men's and women's skin and is one of the most talked about herbs with health benefits. Saffron Serum is gluten-free and organic.&nbsp;</p><p>&nbsp;</p><p><strong>Ingredients:</strong><br>Apricot Kernel Oil, Sesame Seed Oil, Saffron, Laccifera Lacca, Manjisha&nbsp;KukumuzGlycyrrhiza Glabra Madhuyashiti, Mulethi, Berberis aristata, Prunus cerasoides, Nymphaea Stellata, Ficus Benghalensis, Ficus Lacor, Nelumbo Nucerera, Aegele, Marmelos, Premna Mucronata, Oroxylum Indicum, Gmelina&nbsp;<br>Net Weight 28 ml/ 2 oz</p><p>&nbsp;</p><p><strong>How to use:</strong><br>Apply 2 drops of oil on clean skin and spread by patting motion. Avoid the eye area. Keep away from children. External use only.</p><p>&nbsp;</p><p>No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p><p>&nbsp;</p>",cc221d_cac930de68124da49fae1a248a9abd1f~mv2.jpg;cc221d_67a8d04cda2b48a69682fc5bb169062d~mv2.jpg;cc221d_310f6b22a84c4f76ba6f52e39be6d133;cc221d_9c5ee78024bc41cbaa45b98b3352c18f~mv2.jpg,Best Sellers;Rose Collection,5065012672084,BEST SELLER,85,,TRUE,PERCENT,0,21,1,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PeelaDerm
product_91cc83e6-99d8-7c9c-e6cf-4b717f8e2bef,Product,Retinol Alternative Night Cream,"<p><strong>Boost the anti-aging benefits with this powerful yet soothing rejuvenating treatment.</strong></p><p>&nbsp;</p><p>Bakuchiol is an alternative to retinol with clinically proven agents that significantly reduce&nbsp;the appearance of expression lines and wrinkles while hydrating and supporting the skin’s moisture levels.</p><p>&nbsp;</p><p>Bakuchiol comes from the Ayurvedic Babchi plant, which smooths the appearance of fine lines, and seals in hydration for a smoother complexion. Bakuchiol is very Bio-friendly and recommended for sensitive skin as well.</p><p>&nbsp;</p><p><strong>Ingredients: </strong></p><p>Aloe Juice, Cetearyl Alcohol, Polysorbate 60, Emulsifying Wax NF, Sunflower Seed Oil, Apricot Kernel Oil, Kosher Vegetable Glycerin, Bakuchiol Oil, Lecithin, Jojoba Seed Oil, Phenoxyethanol, Vitamin E Oil, Ethylhexlglycerin, Carrot Seed Oil.</p><p>Net Weight: 50ml/ 2 oz</p><p>&nbsp;</p><p><strong>How to use: </strong></p><p>Apply to clean skin before bedtime. Avoid the eye area. Keep away from children. External use only.</p><p>&nbsp;</p><p>Fragrance-Free, No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p><p>&nbsp;</p>",cc221d_aa7ef8a97df745a09ff5176fdb9cdbb3~mv2.jpg;cc221d_ea84079fa0f744aebb42dbcbb44eb988~mv2.jpg;cc221d_c20ebd2dfab44079a07f809086444875;cc221d_8426abb4f3b744cf9c96293c961050a4~mv2.jpg,Pro-Collagen Collection,5065012672077,,49,,TRUE,PERCENT,0,35,1,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a7b44bc8-2035-f72d-7ea2-0e6b116dcd7e,Product,Advanced Matrixyl 3000 Eye Cream,"<p><strong>Renew the collagen around the eye from the inside out with Matrixyl®️ 3000 Coffee infused Eye Cream.</strong></p><p>&nbsp;</p><p>The potent age-defying cream restores the skin’s collagen, which improves overall elasticity, firmness, and texture. The added benefit of Hyaluronic Acid increases and maintains optimal hydration levels for smoother, healthier-looking skin.</p><p>&nbsp;</p><p><strong>Matrixyl 3000</strong> is a French peptide with anti-aging characteristics. When Matrixyl 3000 is combined with hyaluronic acid, the duo has a maximum potent age-reversing effect.</p><p>&nbsp;</p><p><strong>Ingredients: </strong></p><p>Aloe Juice, Hyaluronic Acid, Rose Infusion, Coffee oil Extract, Rice Flour, Sunflower seed oil, Jojoba Oil, Castor Seed Oil, Glycerin, Aqua, Butylene Glycol, Carbomer, Polysorbate 20, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Ethylhexylglycerin, Phenoxyethanol</p><p>Net Weight 28 ml/ 1 oz</p><p>&nbsp;</p><p><strong>How to use:</strong></p><p>Apply dots around eyes on clean skin two times a day. Keep away from children. External use only.</p><p>&nbsp;</p><p>Fragrance-Free, No harsh chemicals, No animal cruelty, Gluten Free, No animal ingredients.</p><p>&nbsp;</p>",9ea7a0_d7ae6ee264a14dffb9dcaaa885d59166~mv2.jpg;9ea7a0_24adc3a6e708486f8df87df5830606b8~mv2.jpg;1da0a4_48ca3b65e3d44ed0ace0af485e86aac6,Pro-Collagen Collection;Best Sellers,5065012672060,,60,,TRUE,PERCENT,0,9,1,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
